0:3	Account: samsimon1	 Name: ÙHîiÙSG	 Level: 107	 IP Address: 115.78.195.38 : 49939
0:4	Account: minsimon	 Name: ÙRinÙSG	 Level: 81	 IP Address: 115.78.195.38 : 49949
0:15	Account: xebmt4	 Name: XeÙN­ícÙMÝa4	 Level: 5	 IP Address: 27.79.43.143 : 51117
0:15	Account: xebmt1	 Name: XeÙN­ícÙMÝa	 Level: 79	 IP Address: 27.79.43.143 : 51119
0:19	Account: xebmt1	 Name: XeÙN­ícÙMÝa	 Level: 79	 IP Address: 27.79.43.143 : 51127
0:20	Account: xebmt	 Name: BanDobmt	 Level: 80	 IP Address: 27.79.43.143 : 51130
0:20	Account: xebmt001	 Name: Dophoihot	 Level: 80	 IP Address: 27.79.43.143 : 51133
0:24	Account: xebmt1	 Name: XeÙN­ícÙMÝa	 Level: 79	 IP Address: 27.79.43.143 : 51145
1:1	Account: samsimon1	 Name: ÙHîiÙSG	 Level: 107	 IP Address: 115.78.195.38 : 50557
1:1	Account: minsimon	 Name: ÙRinÙSG	 Level: 81	 IP Address: 115.78.195.38 : 50560
1:1	Account: qwqwqw3	 Name: ThÈmÙV¹nÙTam	 Level: 82	 IP Address: 171.249.236.64 : 59202
1:2	Account: qwqwqw3	 Name: ThÈmÙV¹nÙTam	 Level: 82	 IP Address: 171.249.236.64 : 59206
1:3	Account: gcity02	 Name: 02ÙThiªnÙNhÉn	 Level: 97	 IP Address: 27.79.43.143 : 51234
1:9	Account: nonhangiudo	 Name: Gi÷Ù§å	 Level: 80	 IP Address: 118.68.135.17 : 51750
1:9	Account: nonhandovip	 Name: GiuDoVip	 Level: 80	 IP Address: 118.68.135.17 : 51752
1:10	Account: building1987	 Name: TiÒnÙV«ÙNghÜa	 Level: 103	 IP Address: 27.79.43.143 : 51259
1:11	Account: nonhandovip	 Name: GiuDoVip	 Level: 80	 IP Address: 118.68.135.17 : 51807
1:15	Account: qwqwqw2	 Name: ¢uÙD­¬ngÙTrym	 Level: 81	 IP Address: 171.249.236.64 : 59329
1:18	Account: building1987	 Name: TiÒnÙV«ÙNghÜa	 Level: 103	 IP Address: 27.79.43.143 : 51271
1:46	Account: qwqwqw1	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.249.236.64 : 59954
1:53	Account: asdzxcdsa	 Name: V«ÙTuÙV«ÙChøngÙ	 Level: 97	 IP Address: 171.249.236.64 : 59985
1:54	Account: qwqwqw2	 Name: ¢uÙD­¬ngÙTrym	 Level: 81	 IP Address: 171.249.236.64 : 59990
2:7	Account: qwqwqw1	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.249.236.64 : 49247
2:7	Account: thangvl5	 Name: 5HáaCaCa	 Level: 94	 IP Address: 183.81.86.145 : 3031
3:35	Account: samsimon1	 Name: ÙHîiÙSG	 Level: 107	 IP Address: 115.78.195.38 : 52655
3:46	Account: qwqwqw	 Name: Kimmai	 Level: 1	 IP Address: 171.249.236.64 : 49295
4:7	Account: qwqwqw1	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.249.236.64 : 49407
4:20	Account: qwqwqw1	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.249.236.64 : 49477
4:38	Account: minhngo7989	 Name: MrMinh	 Level: 85	 IP Address: 183.80.206.226 : 65437
4:39	Account: hoangminh89	 Name: ConHeo	 Level: 85	 IP Address: 183.80.206.226 : 65458
4:39	Account: minhngo89	 Name: MaiMai	 Level: 84	 IP Address: 183.80.206.226 : 65463
4:45	Account: qwqwqw1	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.249.236.64 : 50113
5:0	Account: usd001	 Name: USD001	 Level: 85	 IP Address: 14.245.58.184 : 1097
5:1	Account: ribi01	 Name: RiBi01	 Level: 90	 IP Address: 14.245.58.184 : 1107
5:2	Account: ribi02	 Name: RIBIO3	 Level: 82	 IP Address: 14.245.58.184 : 1117
5:46	Account: qwqwqw1	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.249.236.64 : 51130
5:51	Account: asdzxcdsa	 Name: V«ÙTuÙV«ÙChøngÙ	 Level: 97	 IP Address: 171.249.236.64 : 51135
6:0	Account: qwqwqw3	 Name: ¢uÙD­¬ngÙVËt	 Level: 81	 IP Address: 171.249.236.64 : 51146
7:8	Account: ribi05	 Name: RiBi05	 Level: 80	 IP Address: 14.245.58.184 : 3098
7:11	Account: ribi03	 Name: BossST	 Level: 1	 IP Address: 14.245.58.184 : 3134
7:15	Account: ribi04	 Name: BossST02	 Level: 1	 IP Address: 14.245.58.184 : 3160
