3:42	Account: letutl74	 Name: BopVuBu	 Level: 83	 IP Address: 1.54.167.236 : 50029
3:43	Account: letutl74	 Name: BopVuBu	 Level: 83	 IP Address: 1.54.167.236 : 50032
3:46	Account: letutl72	 Name: DoanhDoanh	 Level: 82	 IP Address: 1.54.167.236 : 50035
3:47	Account: letutl72	 Name: DoanhDoanh	 Level: 82	 IP Address: 1.54.167.236 : 50038
4:45	Account: letutl72	 Name: DoanhDoanh	 Level: 82	 IP Address: 1.54.167.236 : 50069
4:46	Account: letutl72	 Name: DoanhDoanh	 Level: 82	 IP Address: 1.54.167.236 : 50071
5:27	Account: letutl72	 Name: DoanhDoanh	 Level: 82	 IP Address: 1.54.167.236 : 50097
10:12	Account: unlock911	 Name: Unlock911	 Level: 107	 IP Address: 27.78.12.11 : 53791
10:12	Account: unlock912	 Name: Unlock912	 Level: 101	 IP Address: 27.78.12.11 : 53809
10:31	Account: building1987bmt	 Name: ÙTayÙCh¬iÙBèÙGiµ	 Level: 102	 IP Address: 116.99.245.178 : 52350
11:57	Account: unlock912	 Name: Unlock912	 Level: 102	 IP Address: 27.78.12.11 : 60039
