0:0	Account: blackboy87	 Name: EsÙTheÙKing	 Level: 100	 IP Address: 113.189.88.35 : 56560
0:3	Account: vunguyen1983	 Name: Thiennhan	 Level: 87	 IP Address: 27.75.46.206 : 57529
0:3	Account: blackboy87	 Name: EsÙTheÙKing	 Level: 100	 IP Address: 42.117.154.228 : 20972
0:14	Account: vu25091990	 Name: XinhGai21	 Level: 81	 IP Address: 116.110.119.64 : 49268
0:20	Account: nongdan14	 Name: weqeeeqeq	 Level: 1	 IP Address: 171.236.254.34 : 49796
0:25	Account: vu25091990	 Name: DocXinh22	 Level: 81	 IP Address: 116.110.119.64 : 49293
0:34	Account: vu25091990	 Name: DocXinh23	 Level: 81	 IP Address: 116.110.119.64 : 49316
0:34	Account: saluci	 Name: DocXinh3	 Level: 81	 IP Address: 116.110.119.64 : 49318
0:35	Account: sarin2	 Name: DocXinh14	 Level: 82	 IP Address: 116.110.119.64 : 49322
0:41	Account: lazychibi	 Name: ddaaaaa	 Level: 1	 IP Address: 14.231.117.129 : 52782
0:42	Account: vu25091990	 Name: DocXinh22	 Level: 81	 IP Address: 116.110.119.64 : 49338
0:42	Account: lazychibi	 Name: ddaaaaa	 Level: 80	 IP Address: 14.231.117.129 : 52814
0:46	Account: vu25091990	 Name: DocXinh23	 Level: 81	 IP Address: 116.110.119.64 : 49348
0:48	Account: vu25091990	 Name: DocXinh23	 Level: 81	 IP Address: 116.110.119.64 : 49354
0:50	Account: chudu07	 Name: KÎÙLangÙB¹c	 Level: 100	 IP Address: 171.235.99.82 : 49186
0:51	Account: lazychibi	 Name: ddaaaaa	 Level: 80	 IP Address: 14.231.117.129 : 52988
0:53	Account: lazychibi	 Name: lazchii	 Level: 1	 IP Address: 14.231.117.129 : 53030
0:54	Account: mrhung1	 Name: DCMADM	 Level: 1	 IP Address: 42.114.31.43 : 49682
0:55	Account: lazychibi	 Name: lazychibi	 Level: 1	 IP Address: 14.231.117.129 : 53052
1:11	Account: minhtrand28	 Name: caytien02	 Level: 84	 IP Address: 14.174.119.34 : 52548
1:26	Account: lazychibi1	 Name: lazychibi1	 Level: 1	 IP Address: 14.231.117.129 : 53727
1:26	Account: vunguyen1988	 Name: 111111111	 Level: 102	 IP Address: 27.75.46.206 : 59381
1:27	Account: vunguyen1988	 Name: 111111111	 Level: 102	 IP Address: 27.75.46.206 : 59394
1:37	Account: lazychibi1	 Name: lazychibi1	 Level: 80	 IP Address: 14.231.117.129 : 54850
1:43	Account: lazychibi	 Name: lazychibi	 Level: 80	 IP Address: 14.231.117.129 : 55483
1:49	Account: blackboy88	 Name: EsÙTrangÙNhi	 Level: 100	 IP Address: 42.117.154.228 : 8196
1:52	Account: lazychibi	 Name: lazychibi	 Level: 80	 IP Address: 14.231.117.129 : 56367
1:59	Account: minhtrand28	 Name: caytien02	 Level: 84	 IP Address: 14.174.119.34 : 52555
